a	'a
involuntariness	in-'vol-un-tar-i-ness
involuntary	in-'vol-un-tar-y
involve	in-'volve
involved	in-'volved
involvement	in-'volve-ment
involves	in-'volves
involving	in-'volv-ing
invulnerability	in-"vul-ner-a-'bil-i-ty
invulnerable	in-'vul-ner-a-ble
invulnerably	in-'vul-ner-a-bly
inward	'in-ward
inwardly	'in-ward-ly
inwardness	'in-ward-ness
inwards	'in-wards
inwrought	"in-'wrought
iodine	'i-o-dine
iodize	'i-o-dize
iodized	'i-o-dized
iodizes	'i-o-diz-es
iodizing	'i-o-diz-ing
ion	'i-on
Ionic	I-'on-ic
ionization	"i-on-i-'za-tion
ionize	'i-on-ize
ionized	'i-on-ized
ionizes	'i-on-iz-es
ionizing	'i-on-iz-ing
ionosphere	i-'on-o-sphere
ions	'i-ons
iota	i-'o-ta
iotas	i-'o-tas
I prithee	"I-'prith-ee
ipse dixit	"ip-se-'dix-it
ipse dixits	"ip-se-'dix-its
ipso facto	"ip-so-'fac-to
Iran	I-'ran
Iraq	I-'raq
Iraqi	I-'ra-qi
Iraqis	I-'ra-qis
irascibility	i-"ras-ci-'bil-i-ty
irascible	i-'ras-ci-ble
irascibly	i-'ras-ci-bly
irate	i-'rate
irately	i-'rate-ly
irateness	i-'rate-ness
iridescence	"ir-i-'des-cence
iridescent	"ir-i-'des-cent
irk	'irk
irked	'irked
irking	'irk-ing
irks	'irks
irksome	'irk-some
iron	'i-ron
Iron Age	'I-ron-Age
ironclad	'i-ron-clad
ironclads	'i-ron-clads
Iron Curtain	"I-ron-'Cur-tain
ironed	'i-roned
ironed out	"i-roned-'out
iron-foundries	'i-ron-"foun-dries
iron-foundry	'i-ron-"foun-dry
iron-grey	"i-ron-'grey
iron horse	"i-ron-'horse
ironic	i-'ron-ic
ironical	i-'ron-i-cal
ironically	i-'ron-i-cal-ly
ironing	'i-ron-ing
ironing-board	'i-ron-ing-board
ironing-boards	'i-ron-ing-boards
ironing out	"i-ron-ing-'out
iron lung	"i-ron-'lung
iron lungs	"i-ron-'lungs
ironmonger	'i-ron-"mon-ger
ironmongeries	'i-ron-"mon-ger-ies
ironmongers	'i-ron-"mon-gers
ironmongery	'i-ron-"mon-ger-y
ironmould	'i-ron-mould
iron out	"i-ron-'out
iron rations	"i-ron-'ra-tions
irons	'i-rons
ironside	'i-ron-side
ironsides	'i-ron-sides
irons out	"i-rons-'out
ironstone	'i-ron-stone
ironware	'i-ron-ware
ironwork	'i-ron-work
ironworks	'i-ron-works
irradiate	ir-'ra-di-ate
irradiated	ir-'ra-di-at-ed
irradiates	ir-'ra-di-ates
irradiating	ir-'ra-di-at-ing
irrational	ir-'ra-tion-al
irrationality	ir-"ra-tion-'al-i-ty
irrationally	ir-'ra-tion-al-ly
irreconcilable	"ir-"rec-on-'cil-a-ble
irreconcilably	"ir-"rec-on-'cil-a-bly
irrecoverable	"ir-re-'cov-er-a-ble
irrecoverably	"ir-re-'cov-er-a-bly
irredeemable	"ir-re-'deem-a-ble
irredeemably	"ir-re-'deem-a-bly
irredentist	"ir-re-'den-tist
irredentists	"ir-re-'den-tists
irreducible	"ir-re-'duc-i-ble
irreducibly	"ir-re-'duc-i-bly
irrefutable	ir-'ref-u-ta-ble
irrefutably	ir-'ref-u-ta-bly
irregular	ir-'reg-u-lar
irregularities	ir-"reg-u-'lar-i-ties
irregularity	ir-"reg-u-'lar-i-ty
irregularly	ir-'reg-u-lar-ly
irregulars	ir-'reg-u-lars
irrelevance	ir-'rel-e-vance
irrelevances	ir-'rel-e-vanc-es
irrelevancies	ir-'rel-e-van-cies
irrelevancy	ir-'rel-e-van-cy
irrelevant	ir-'rel-e-vant
irrelevantly	ir-'rel-e-vant-ly
irreligious	"ir-re-'li-gious
irremovable	"ir-re-'mov-a-ble
irreparable	ir-'rep-a-ra-ble
irreparably	ir-'rep-a-ra-bly
irreplaceable	"ir-re-'place-a-ble
irrepressible	"ir-re-'press-i-ble
irrepressibly	"ir-re-'press-i-bly
irreproachable	"ir-re-'proach-a-ble
irreproachably	"ir-re-'proach-a-bly
irresistible	"ir-re-'sist-i-ble
irresistibly	"ir-re-'sist-i-bly
irresolute	ir-'res-o-lute
irresolution	"ir-"res-o-'lu-tion
irrespective	"ir-re-'spec-tive
irrespective of	"ir-re-'spec-tive-of
irresponsibility	"ir-re-"spon-si-'bil-i-ty
irresponsible	"ir-re-'spon-si-ble
irresponsibly	"ir-re-'spon-si-bly
irretrievable	"ir-re-'triev-a-ble
irretrievably	"ir-re-'triev-a-bly
irreverence	ir-'rev-er-ence
irreverent	ir-'rev-er-ent
irreverently	ir-'rev-er-ent-ly
irreversible	"ir-re-'vers-i-ble
irreversibly	"ir-re-'vers-i-bly
irrevocable	ir-'rev-o-ca-ble
irrevocably	ir-'rev-o-ca-bly
irrigable	'ir-ri-ga-ble
irrigate	'ir-ri-gate
irrigated	'ir-ri-gat-ed
irrigates	'ir-ri-gates
irrigating	'ir-ri-gat-ing
irrigation	"ir-ri-'ga-tion
irritability	"ir-ri-ta-'bil-i-ty
irritable	'ir-ri-ta-ble
irritably	'ir-ri-ta-bly
irritant	'ir-ri-tant
irritants	'ir-ri-tants
irritate	'ir-ri-tate
irritated	'ir-ri-tat-ed
irritates	'ir-ri-tates
irritating	'ir-ri-tat-ing
irritation	"ir-ri-'ta-tion
irritations	"ir-ri-'ta-tions
irruption	ir-'rup-tion
irruptions	ir-'rup-tions
Irving	'Ir-ving
is	'is
i's	'i's
isinglass	'i-sin-glass
Islam	'Is-lam
Islamic	Is-'lam-ic
island	'is-land
islander	'is-land-er
islanders	'is-land-ers
islands	'is-lands
isle	'isle
isles	'isles
islet	'is-let
islets	'is-lets
isobar	'i-so-bar
isobars	'i-so-bars
isolate	'i-so-late
isolated	'i-so-lat-ed
isolates	'i-so-lates
isolating	'i-so-lat-ing
isolation	"i-so-'la-tion
isolationist	"i-so-'la-tion-ist
isolationists	"i-so-'la-tion-ists
isosceles	i-'sos-ce-les
isosceles triangle	i-"sos-ce-les-'tri-an-gle
isosceles triangles	i-"sos-ce-les-'tri-an-gles
isotherm	'i-so-therm
isotherms	'i-so-therms
isotope	'i-so-tope
isotopes	'i-so-topes
Israel	'Is-ra-el
Israeli	Is-'rae-li
Israelis	Is-'rae-lis
issue	'is-sue
issued	'is-sued
issued forth	"is-sued-'forth
issued from	'is-sued-from
issue forth	"is-sue-'forth
issue from	'is-sue-from
issues	'is-sues
issues forth	"is-sues-'forth
issues from	'is-sues-from
issuing	'is-su-ing
issuing forth	"is-su-ing-'forth
issuing from	'is-su-ing-from
isthmus	'isth-mus
isthmuses	'isth-mus-es
it	'it
Italian	I-'tal-ian
Italians	I-'tal-ians
italic	i-'tal-ic
italicize	i-'tal-i-cize
italicized	i-'tal-i-cized
italicizes	i-'tal-i-ciz-es
italicizing	i-'tal-i-ciz-ing
Italy	'It-a-ly
itch	'itch
itched	'itched
itched for	'itched-for
itches	'itch-es
itches for	'itch-es-for
itch for	'itch-for
itchiest	'itch-i-est
itchiness	'itch-i-ness
itching	'itch-ing
itching for	'itch-ing-for
itchy	'itch-y
item	'i-tem
itemize	'i-tem-ize
itemized	'i-tem-ized
itemizes	'i-tem-iz-es
itemizing	'i-tem-iz-ing
items	'i-tems
iterate	'it-er-ate
iterated	'it-er-at-ed
iterates	'it-er-ates
iterating	'it-er-at-ing
iteration	"it-er-'a-tion
iterations	"it-er-'a-tions
itinerant	i-'tin-er-ant
itineraries	i-'tin-er-ar-ies
itinerary	i-'tin-er-ar-y
itinerate	i-'tin-er-ate
itinerated	i-'tin-er-at-ed
itinerates	i-'tin-er-ates
itinerating	i-'tin-er-at-ing
its	'its
it's	'it's
itself	it-'self
itsy-bitsy	"it-sy-'bit-sy
itty-bitty	"it-ty-'bit-ty
I've	'I've
ivied	'i-vied
ivies	'i-vies
ivories	'i-vo-ries
ivory	'i-vo-ry
ivory tower	"i-vo-ry-'tow-er
ivory towers	"i-vo-ry-'tow-ers
ivy	'i-vy
j	'j
J	'J
jab	'jab
jabbed	'jabbed
jabber	'jab-ber
jabbered	'jab-bered
jabberer	'jab-ber-er
jabberers	'jab-ber-ers
jabbering	'jab-ber-ing
jabbers	'jab-bers
jabbing	'jab-bing
jabot	'ja-bot
jabots	'jab-ots
jabs	'jabs
jack	'jack
Jack	'Jack
jackal	'jack-al
jackals	'jack-als
jackanapes	'jack-a-napes
jackaroo	"jack-a-'roo
jackaroos	"jack-a-'roos
jackass	'jack-ass
jackasses	'jack-ass-es
jackboot	'jack-boot
jackboots	'jack-boots
jackdaw	'jack-daw
jackdaws	'jack-daws
jacked in	"jacked-'in
jacked up	"jacked-'up
jacket	'jack-et
jackets	'jack-ets
Jack Frost	"Jack-'Frost
jack in	"jack-'in
jacking in	"jack-ing-'in
jacking up	"jack-ing-'up
jack-in-the-box	'jack-in-the-box
jack-in-the-boxes	'jack-in-the-box-es
jack-knife	'jack-knife
jack-knifed	'jack-knifed
jack-knife dive	'jack-knife-"dive
jack-knife dives	'jack-knife-"dives
jack-knifes	'jack-knifes
jack-knifing	'jack-knif-ing
jack-knives	'jack-knives
jack-of-all-trades	"jack-of-'all-trades
jack-o'-lantern	'jack-o'-"lan-tern
jack-o'-lanterns	'jack-o'-"lan-terns
jack-plane	'jack-plane
jack-planes	'jack-planes
jackpot	'jack-pot
jackpots	'jack-pots
jackrabbit	'jack-"rab-bit
jackrabbits	'jack-"rab-bits
Jack Robinson	"Jack-'Rob-in-son
jacks	'jacks
jacks in	"jacks-'in
jacks-of-all-trades	"jacks-of-'all-trades
jacks up	"jacks-'up
jack tar	"jack-'tar
jack tars	"jack-'tars
jack up	"jack-'up
Jacobean	"Jac-o-'be-an
Jacobeans	"Jac-o-'be-ans
Jacobin	'Jac-o-bin
Jacobins	'Jac-o-bins
Jacobite	'Jac-o-bite
Jacobites	'Jac-o-bites
jade	'jade
jaded	'jad-ed
jades	'jades
Jaffa	'Jaf-fa
Jaffas	'Jaf-fas
jag	'jag
jagged	'jagged
jaggedly	'jag-ged-ly
jaggiest	'jag-gi-est
jagging	'jag-ging
jaggy	'jag-gy
jags	'jags
jaguar	'jag-uar
jaguars	'jag-uars
jail	'jail
jailbird	'jail-bird
jailbirds	'jail-birds
jailbreak	'jail-break
jailbreaks	'jail-breaks
jailed	'jailed
jailer	'jail-er
jailers	'jail-ers
jailing	'jail-ing
jails	'jails
jakes	'jakes
jalopies	ja-'lop-ies
jalopy	ja-'lop-y
jam	'jam
Jamaica	Ja-'mai-ca
Jamaican	Ja-'mai-can
Jamaicans	Ja-'mai-cans
jamb	'jamb
jamboree	"jam-bo-'ree
jamborees	"jam-bo-'rees
jambs	'jambs
jam-jar	'jam-jar
jam-jars	'jam-jars
jammed	'jammed
jammed on	"jammed-'on
jammiest	'jam-mi-est
jamming	'jam-ming
jamming on	"jam-ming-'on
jammy	'jam-my
jam on	"jam-'on
jam-packed	"jam-'packed
jam-pot	'jam-pot
jam-pots	'jam-pots
jams	'jams
jam session	'jam-"ses-sion
jam sessions	'jam-"ses-sions
jams on	"jams-'on
Jan.	'Jan.
Jane	'Jane
jangle	'jan-gle
jangled	'jan-gled
jangles	'jan-gles
jangling	'jan-gling
janissaries	'jan-is-sar-ies
janissary	'jan-is-sar-y
janitor	'jan-i-tor
janitors	'jan-i-tors
janizaries	'jan-i-zar-ies
janizary	'jan-i-zar-y
japan	ja-'pan
Japan	Ja-'pan
Japanese	"Jap-a-'nese
Japanese lantern	"Jap-a-nese-'lan-tern
Japanese lanterns	"Jap-a-nese-'lan-terns
japanned	ja-'panned
japanning	ja-'pan-ning
japans	ja-'pans
japan ware	ja-'pan-ware
jape	'jape
japes	'japes
japonica	ja-'pon-i-ca
jar	'jar
jarful	'jar-ful
jarfuls	'jar-fuls
jargon	'jar-gon
jarred	'jarred
jarring	'jar-ring
jarringly	'jar-ring-ly
jars	'jars
jasmine	'jas-mine
jasper	'jas-per
jaundice	'jaun-dice
jaundiced	'jaun-diced
jaundices	'jaun-dic-es
jaundicing	'jaun-dic-ing
jaunt	'jaunt
jaunted	'jaunt-ed
jauntiest	'jaun-ti-est
jauntily	'jaun-ti-ly
jauntiness	'jaun-ti-ness
jaunting	'jaunt-ing
jaunting-car	'jaunt-ing-car
jaunting-cars	'jaunt-ing-cars
jaunts	'jaunts
jaunty	'jaun-ty
Java	'Ja-va
Javanese	"Jav-a-'nese
javelin	'jave-lin
javelins	'jave-lins
jaw	'jaw
jawbone	'jaw-bone
jawbones	'jaw-bones
jawbreaker	'jaw-"break-er
jawbreakers	'jaw-"break-ers
jawed	'jawed
jawing	'jaw-ing
jaws	'jaws
jay	'jay
jays	'jays
jaywalk	'jay-walk
jaywalked	'jay-walked
jaywalker	'jay-"walk-er
jaywalkers	'jay-"walk-ers
jaywalking	'jay-walk-ing
jaywalks	'jay-walks
jazz	'jazz
jazzed	'jazzed
jazzed up	"jazzed-'up
jazzes	'jazz-es
jazzes up	"jazz-es-'up
jazziest	'jazz-i-est
jazzily	'jazz-i-ly
jazzing	'jazz-ing
jazzing up	"jazz-ing-'up
jazz up	"jazz-'up
jazzy	'jazz-y
jealous	'jeal-ous
jealousies	'jeal-ous-ies
jealously	'jeal-ous-ly
jealousy	'jeal-ous-y
jean	'jean
jeans	'jeans
jeep	'jeep
jeeps	'jeeps
jeer	'jeer
jeered	'jeered
jeering	'jeer-ing
jeeringly	'jeer-ing-ly
jeers	'jeers
Jeff	'Jeff
Jehovah	Je-'ho-vah
Jehovah's Witness	Je-"ho-vah's-'Wit-ness
Jehovah's Witnesses	Je-"ho-vah's-'Wit-ness-es
jejune	je-'june
jejunely	je-'june-ly
jejuneness	je-'june-ness
jellaba	'jel-la-ba
jellabas	'jel-la-bas
jellied	'jel-lied
jellies	'jel-lies
jello	'jell-o
Jell-O	'Jell-O
jelly	'jel-ly
jellyfish	'jel-ly-fish
jellyfishes	'jel-ly-fish-es
jellying	'jel-ly-ing
jemmied	'jem-mied
jemmies	'jem-mies
jemmy	'jem-my
jemmying	'jem-my-ing
je ne sais quoi	je-ne-sais-'quoi
jennies	'jen-nies
Jennifer	'Jen-ni-fer
jenny	'jen-ny
jeopardize	'jeop-ard-ize
jeopardized	'jeop-ard-ized
jeopardizes	'jeop-ard-iz-es
jeopardizing	'jeop-ard-iz-ing
jeopardy	'jeop-ard-y
jerboa	jer-'bo-a
jerboas	jer-'bo-as
jeremiad	"jer-e-'mi-ad
jeremiads	"jer-e-'mi-ads
Jeremiah	"Jer-e-'mi-ah
jerk	'jerk
jerked	'jerked
jerked off	"jerked-'off
jerkiest	'jerk-i-est
jerkily	'jerk-i-ly
jerkin	'jer-kin
jerkiness	'jerk-i-ness
jerking	'jerk-ing
jerking off	"jerk-ing-'off
jerkins	'jer-kins
jerk off	"jerk-'off
jerks	'jerks
jerks off	"jerks-'off
jerky	'jerk-y
jeroboam	"jer-o-'bo-am
jeroboams	"jer-o-'bo-ams
jerries	'jer-ries
Jerries	'Jer-ries
jerry	'jer-ry
Jerry	'Jer-ry
jerry-build	'jer-ry-build
jerry-builder	'jer-ry-"build-er
jerry-builders	'jer-ry-"build-ers
jerry-building	'jer-ry-build-ing
jerry-builds	'jer-ry-builds
jerry-built	'jer-ry-built
jersey	'jer-sey
Jersey	'Jer-sey
jerseys	'jer-seys
Jerseys	'Jer-seys
Jerusalem	Je-'ru-sa-lem
Jerusalem artichoke	Je-"ru-sa-lem-'ar-ti-choke
Jerusalem artichokes	Je-"ru-sa-lem-'ar-ti-chokes
jest	'jest
jested	'jest-ed
jested with	'jest-ed-with
jester	'jest-er
jesters	'jest-ers
jesting	'jest-ing
jestingly	'jest-ing-ly
jesting with	'jest-ing-with
jests	'jests
jests with	'jests-with
jest with	'jest-with
Jesuit	'Jes-u-it
jesuitic	"jes-u-'it-ic
jesuitical	"jes-u-'it-i-cal
jesuitically	"jes-u-'it-i-cal-ly
Jesuits	'Jes-u-its
jet	'jet
jet-black	"jet-'black
jet engine	"jet-'en-gine
jet engines	"jet-'en-gines
jet-propelled	"jet-pro-'pelled
jet propulsion	"jet-pro-'pul-sion
jets	'jets
jetsam	'jet-sam
jet set	'jet-set
jet sets	'jet-sets
jetted	'jet-ted
jetties	'jet-ties
jetting	'jet-ting
jettison	'jet-ti-son
jettisoned	'jet-ti-soned
jettisons	'jet-ti-sons
jetty	'jet-ty
Jew	'Jew
jewel	'jew-el
jewelled	'jew-elled
jeweller	'jew-el-ler
jewellers	'jew-el-lers
jewelling	'jew-el-ling
jewels	'jew-els
Jewess	'Jew-ess
Jewesses	'Jew-ess-es
Jewish	'Jew-ish
Jews	'Jews
Jew's harp	"Jew's-'harp
Jew's harps	"Jew's-'harps
Jezebel	'Jez-e-bel
Jezebels	'Jez-e-bels
jib	'jib
jib at	'jib-at
jibbed	'jibbed
jibbed at	'jibbed-at
jibbing	'jib-bing
jibbing at	'jib-bing-at
jib-boom	"jib-'boom
jib-booms	"jib-'booms
jibs	'jibs
jibs at	'jibs-at
jiffy	'jif-fy
jig	'jig
jigged	'jigged
jigger	'jig-ger
jiggered	'jig-gered
jiggers	'jig-gers
jiggery-pokery	"jig-ger-y-'pok-er-y
jigging	'jig-ging
jiggle	'jig-gle
jiggled	'jig-gled
jiggles	'jig-gles
jiggliest	'jig-gli-est
jiggling	'jig-gling
jiggly	'jig-gly
jigs	'jigs
jigsaw	'jig-saw
jigsaw puzzle	'jig-saw-"puz-zle
jigsaw puzzles	'jig-saw-"puz-zles
jigsaws	'jig-saws
jihad	ji-'had
jihads	ji-'hads
jilt	'jilt
jilted	'jilt-ed
jilting	'jilt-ing
jilts	'jilts
Jim	'Jim
jim crow	"jim-'crow
jiminy	'jim-i-ny
jimjams	'jim-jams
jimmied	'jim-mied
jimmies	'jim-mies
jimmy	'jim-my
jimmying	'jim-my-ing
jingle	'jin-gle
jingled	'jin-gled
jingles	'jin-gles
jingling	'jin-gling
jingo	'jin-go
jingoist	'jin-go-ist
jingoistic	"jin-go-'is-tic
jingoists	'jin-go-ists
jinks	'jinks
jinn	'jinn
jinns	'jinns
jinx	'jinx
jinxed	'jinxed
jinxes	'jinx-es
jinxing	'jinx-ing
jitney	'jit-ney
jitneys	'jit-neys
jitterbug	'jit-ter-bug
jitterbugs	'jit-ter-bugs
jitters	'jit-ters
jittery	'jit-ter-y
jive	'jive
jived	'jived
jives	'jives
jiving	'jiv-ing
job	'job
Job	'Job
jobbed	'jobbed
jobber	'job-ber
jobbers	'job-bers
jobbery	'job-ber-y
jobbing	'job-bing
jobless	'job-less
job lot	"job-'lot
job lots	"job-'lots
jobs	'jobs
Job's comforter	"Job's-'com-fort-er
Job's comforters	"Job's-'com-fort-ers
jockey	'jock-ey
Jockey Club	'Jock-ey-Club
jockeyed	'jock-eyed
jockeying	'jock-ey-ing
jockeys	'jock-eys
jockstrap	'jock-strap
jockstraps	'jock-straps
jocose	jo-'cose
jocosely	jo-'cose-ly
jocoseness	jo-'cose-ness
jocosity	jo-'cos-i-ty
jocular	'joc-u-lar
jocularities	"joc-u-'lar-i-ties
jocularity	"joc-u-'lar-i-ty
jocularly	'joc-u-lar-ly
jocund	'joc-und
jocundities	jo-'cun-di-ties
jocundity	jo-'cun-di-ty
jodhpurs	'jodh-purs
jog	'jog
jogged	'jogged
jogger	'jog-ger
joggers	'jog-gers
jogging	'jog-ging
joggle	'jog-gle
joggled	'jog-gled
joggles	'jog-gles
joggling	'jog-gling
jogs	'jogs
jog-trot	'jog-trot
jog-trots	'jog-trots
john	'john
John	'John
John Barleycorn	"John-'Bar-ley-corn
John Bull	"John-'Bull
John Doe	"John-'Doe
John Dories	"John-'Do-ries
John Dory	"John-'Do-ry
johnnies	'john-nies
johnny	'john-ny
johns	'johns
Johnson	'John-son
joie de vivre	"joie-de-'vi-vre
join	'join
joined	'joined
joined in	"joined-'in
joined up	"joined-'up
joined with	'joined-with
joiner	'join-er
joiners	'join-ers
joinery	'join-er-y
join in	"join-'in
joining	'join-ing
joining in	"join-ing-'in
joining up	"join-ing-'up
joining with	'join-ing-with
joins	'joins
joins in	"joins-'in
joins up	"joins-'up
joins with	'joins-with
joint	'joint
joint account	"joint-ac-'count
joint accounts	"joint-ac-'counts
jointed	'joint-ed
jointing	'joint-ing
jointly	'joint-ly
joints	'joints
joint-stock companies	"joint-'stock-"com-pa-nies
joint-stock company	"joint-'stock-"com-pa-ny
jointure	'join-ture
jointures	'join-tures
join up	"join-'up
join with	'join-with
joist	'joist
joists	'joists
joke	'joke
joked	'joked
joker	'jok-er
jokers	'jok-ers
jokes	'jokes
joking	'jok-ing
jokingly	'jok-ing-ly
jollied	'jol-lied
jollied along	"jol-lied-a-'long
jollies	'jol-lies
jollies along	"jol-lies-a-'long
jolliest	'jol-li-est
jollification	"jol-li-fi-'ca-tion
jollifications	"jol-li-fi-'ca-tions
jollified	'jol-li-fied
jollifies	'jol-li-fies
jollify	'jol-li-fy
jollifying	'jol-li-fy-ing
jollily	'jol-li-ly
jolliness	'jol-li-ness
jollities	'jol-li-ties
jollity	'jol-li-ty
jolly	'jol-ly
jolly along	"jol-ly-a-'long
jollyboat	'jol-ly-boat
jollyboats	'jol-ly-boats
jollying	'jol-ly-ing
jollying along	"jol-ly-ing-a-'long
Jolly Roger	"Jol-ly-'Rog-er
jolly well	'jol-ly-well
jolt	'jolt
jolted	'jolt-ed
joltiest	'jolt-i-est
jolting	'jolt-ing
jolts	'jolts
jolty	'jolt-y
Jonah	'Jo-nah
Jonahs	'Jo-nahs
Jones	'Jones
jonquil	'jon-quil
jonquils	'jon-quils
Jordan	'Jor-dan
josh	'josh
joshed	'joshed
joshes	'josh-es
joshing	'josh-ing
joss	'joss
josses	'joss-es
joss-house	'joss-house
joss-houses	'joss-hous-es
joss-stick	'joss-stick
joss-sticks	'joss-sticks
jostle	'jos-tle
jostled	'jos-tled
jostles	'jos-tles
jostling	'jos-tling
jot	'jot
jots	'jots
jotted	'jot-ted
jotter	'jot-ter
jotters	'jot-ters
jotting	'jot-ting
jottings	'jot-tings
joule	'joule
joules	'joules
journal	'jour-nal
journalese	"jour-nal-'ese
journalist	'jour-nal-ist
journalistic	"jour-nal-'is-tic
journalistically	"jour-nal-'is-ti-cal-ly
journalists	'jour-nal-ists
journals	'jour-nals
journey	'jour-ney
journeyed	'jour-neyed
journeying	'jour-ney-ing
journeyman	'jour-ney-man
journeymen	'jour-ney-men
journeys	'jour-neys
joust	'joust
jousted	'joust-ed
jousting	'joust-ing
jousts	'jousts
Jove	'Jove
jovialities	"jo-vi-'al-i-ties
joviality	"jo-vi-'al-i-ty
jowl	'jowl
jowliest	'jowl-i-est
jowls	'jowls
jowly	'jowl-y
joy	'joy
joy-bells	'joy-bells
Joyce	'Joyce
joyed in	'joyed-in
joyful	'joy-ful
joyfully	'joy-ful-ly
joyfulness	'joy-ful-ness
joy in	'joy-in
joying in	'joy-ing-in
joyless	'joy-less
joylessly	'joy-less-ly
joylessness	'joy-less-ness
joyous	'joy-ous
joyously	'joy-ous-ly
joyousness	'joy-ous-ness
joyride	'joy-ride
joyrides	'joy-rides
joys	'joys
joys in	'joys-in
joystick	'joy-stick
joysticks	'joy-sticks
j's	'j's
jubilant	'ju-bi-lant
jubilantly	'ju-bi-lant-ly
jubilate	'ju-bi-late
jubilated	'ju-bi-lat-ed
jubilates	'ju-bi-lates
jubilating	'ju-bi-lat-ing
jubilation	"ju-bi-'la-tion
jubilations	"ju-bi-'la-tions
jubilee	'ju-bi-lee
jubilees	'ju-bi-lees
Judah	'Ju-dah
Judaic	Ju-'da-ic
Judas	'Ju-das
Judases	'Ju-das-es
judder	'jud-der
juddered	'jud-dered
juddering	'jud-der-ing
judders	'jud-ders
judge	'judge
judged	'judged
judgement	'judge-ment
judgement day	'judge-ment-day
judgements	'judge-ments
judges	'judg-es
judging	'judg-ing
judicature	'ju-di-ca-ture
judicatures	'ju-di-ca-tures
judicial	ju-'di-cial
judicially	ju-'di-cial-ly
judicious	ju-'di-cious
judiciously	ju-'di-cious-ly
judiciousness	ju-'di-cious-ness
judo	'ju-do
jug	'jug
jugful	'jug-ful
jugfuls	'jug-fuls
jugged	'jugged
juggernaut	'jug-ger-naut
juggernauts	'jug-ger-nauts
jugging	'jug-ging
juggle	'jug-gle
juggled	'jug-gled
juggler	'jug-gler
jugglers	'jug-glers
juggles	'jug-gles
juggling	'jug-gling
jugs	'jugs
jugular	'jug-u-lar
jugulars	'jug-u-lars
jugular vein	"jug-u-lar-'vein
jugular veins	"jug-u-lar-'veins
juice	'juice
juiced	'juiced
juiced up	"juiced-'up
juices	'juic-es
juices up	"juic-es-'up
juice up	"juice-'up
juiciest	'juic-i-est
juiciness	'juic-i-ness
juicing	'juic-ing
juicing up	"juic-ing-'up
juicy	'juic-y
jujitsu	ju-'jit-su
juju	'ju-ju
jujube	'ju-jube
jujubes	'ju-jubes
jujus	'ju-jus
jukebox	'juke-box
jukeboxes	'juke-box-es
julep	'ju-lep
juleps	'ju-leps
Julian	'Jul-ian
Julian calendar	"Jul-ian-'cal-en-dar
Julies	Ju-'lies
Julius	'Jul-ius
July	Ju-'ly
jumble	'jum-ble
jumbled	'jum-bled
jumbles	'jum-bles
jumble-sale	'jum-ble-sale
jumble-sales	'jum-ble-sales
jumbling	'jum-bling
jumbo	'jum-bo
jumbo-sized	'jum-bo-sized
jump	'jump
jump at	'jump-at
jumped	'jumped
jumped at	'jumped-at
jumped on	'jumped-on
jumped-up	"jumped-'up
jumper	'jump-er
jumpers	'jump-ers
jumpiest	'jump-i-est
jumpily	'jump-i-ly
jumpiness	'jump-i-ness
jumping	'jump-ing
jumping at	'jump-ing-at
jumping-off place	"jump-ing-'off-place
jumping-off places	"jump-ing-'off-plac-es
jumping-off point	"jump-ing-'off-point
jumping-off points	"jump-ing-'off-points
jumping on	'jump-ing-on
jump on	'jump-on
jumps	'jumps
jumps at	'jumps-at
jumps on	'jumps-on
jumpy	'jump-y
Jun.	'Jun.
junction	'junc-tion
junctions	'junc-tions
juncture	'junc-ture
junctures	'junc-tures
June	'June
Junes	'Junes
jungle	'jun-gle
jungle-like	'jun-gle-like
jungles	'jun-gles
jungliest	'jun-gli-est
jungly	'jun-gly
junior	'jun-ior
Junior	'Jun-ior
juniors	'jun-iors
juniper	'ju-ni-per
junipers	'ju-ni-pers
junk	'junk
junked	'junked
junket	'jun-ket
junketed	'jun-ket-ed
junketing	'jun-ket-ing
junkets	'jun-kets
junkie	'junk-ie
junkies	'junk-ies
junking	'junk-ing
junk mail	'junk-mail
junks	'junks
junk-shop	'junk-shop
junk-shops	'junk-shops
Juno	'Ju-no
Junoesque	"Ju-no-'esque
junta	'jun-ta
juntas	'jun-tas
Jupiter	'Ju-pi-ter
juridical	"ju-'rid-i-cal
juridically	"ju-'rid-i-cal-ly
juries	'ju-ries
jurisdiction	"ju-ris-'dic-tion
jurisprudence	"ju-ris-'pru-dence
jurisprudent	"ju-ris-'pru-dent
jurist	'ju-rist
jurists	'ju-rists
juror	'ju-ror
jurors	'ju-rors
jury	'ju-ry
jury-box	'ju-ry-box
jury-boxes	'ju-ry-box-es
juryman	'ju-ry-man
jurymen	'ju-ry-men
jurywoman	'ju-ry-"wom-an
jurywomen	'ju-ry-"wom-en
just	'just
just about	'just-a-"bout
justice	'jus-tice
Justice	'Jus-tice
justice of the peace	"jus-tice-of-the-'peace
justices	'jus-tic-es
justifiable	'jus-ti-fi-a-ble
justifiably	'jus-ti-fi-a-bly
justification	"jus-ti-fi-'ca-tion
justifications	"jus-ti-fi-'ca-tions
justified	'jus-ti-fied
justifiedly	'jus-ti-fied-ly
justifies	'jus-ti-fies
justify	'jus-ti-fy
justifying	'jus-ti-fy-ing
justly	'just-ly
justness	'just-ness
jute	'jute
jut out	"jut-'out
